epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,78.1774,1.2278,1.66558,1.13645,0.95934,0.90251,0.94163,0.61092,1.18165,1.00225,1.1229,0.00997738,0.00332579,0.00997738,0.00332579,0.00997738,0.00332579,0.00997738,0.00332579
2,150.512,1.22266,0.89861,1.12355,0.93745,0.89431,0.92989,0.57164,1.21845,0.79868,1.16309,0.0197796,0.0065932,0.0197796,0.0065932,0.0197796,0.0065932,0.0197796,0.0065932
3,225.482,1.261,0.818,1.15531,0.92982,0.88731,0.91984,0.58936,1.25063,0.75918,1.16573,0.0293838,0.00979461,0.0293838,0.00979461,0.0293838,0.00979461,0.0293838,0.00979461
4,298.89,1.26489,0.79302,1.17615,0.93067,0.85558,0.90857,0.57907,1.26748,0.809,1.23482,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,377.848,1.23393,0.73092,1.16047,0.94729,0.89294,0.92919,0.60527,1.2332,0.68074,1.19405,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,454.597,1.2253,0.69307,1.15753,0.94672,0.89045,0.93804,0.61598,1.19487,0.72973,1.16769,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,535.495,1.21176,0.67533,1.15145,0.95916,0.90023,0.94181,0.62876,1.17463,0.61008,1.14495,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,610.421,1.1857,0.64986,1.13638,0.9633,0.92073,0.94808,0.63659,1.16063,0.58809,1.14086,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,680.268,1.18001,0.63987,1.12509,0.95887,0.92408,0.95407,0.63893,1.16791,0.56881,1.13048,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,749.205,1.15959,0.61916,1.1122,0.97014,0.91253,0.9515,0.6384,1.15822,0.55239,1.11949,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,816.919,1.15384,0.60787,1.11097,0.97616,0.92027,0.95648,0.64948,1.1482,0.54573,1.10982,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,885.263,1.15289,0.59731,1.10452,0.97063,0.92392,0.96022,0.64913,1.15404,0.52217,1.12067,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,955.347,1.13734,0.57811,1.10319,0.97224,0.92558,0.95431,0.6484,1.1534,0.52942,1.12008,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,1022.9,1.13619,0.57223,1.10061,0.97841,0.91754,0.96236,0.66107,1.12512,0.52937,1.10243,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,1090.88,1.13744,0.57417,1.10659,0.97968,0.92259,0.96017,0.66007,1.1151,0.5079,1.09439,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,1159.28,1.1218,0.56404,1.09525,0.98104,0.91932,0.95801,0.66058,1.11774,0.51684,1.09244,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,1230.04,1.11876,0.55299,1.09114,0.97882,0.92483,0.95835,0.65636,1.12434,0.50037,1.10084,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,1302.15,1.12348,0.5569,1.09169,0.98133,0.93576,0.96459,0.66304,1.10595,0.50266,1.0872,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,1374.75,1.1078,0.54027,1.08338,0.9764,0.93212,0.95975,0.65319,1.13228,0.49445,1.09542,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1457.31,1.11199,0.54582,1.08218,0.98169,0.92841,0.95924,0.66586,1.10099,0.49058,1.07837,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1525.25,1.1189,0.54153,1.08781,0.97664,0.93347,0.96156,0.66464,1.10093,0.49336,1.08572,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1591.85,1.10753,0.54096,1.08729,0.97305,0.93775,0.96315,0.66379,1.10569,0.4741,1.09173,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1659.19,1.09803,0.5297,1.08067,0.98656,0.9303,0.96399,0.66763,1.09912,0.48439,1.07999,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
